,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
83,Latvia,"Inflation, average consumer prices",Percent change,,Source: Eurostat Latest actual data: 2019 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2015,2.633,2.526,1.963,2.94,6.187,6.89,6.571,10.081,15.253,3.259,-1.224,4.222,2.285,0.011,0.69,0.213,0.099,2.894,2.554,2.747,-0.293,3.023,2019.0
84,Latvia,"Inflation, end of period consumer prices",Percent change,,Source: Eurostat Latest actual data: 2019 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2015,1.743,3.173,1.451,3.583,7.334,7.127,6.74,14.024,10.398,-1.367,2.401,3.879,1.59,-0.404,0.274,0.404,2.105,2.16,2.549,2.137,0.496,2.446,2019.0
85,Latvia,Unemployment rate,Percent of total labor force,,"Source: National Statistics Office Latest actual data: 2019 Notes: Labor statistics are based on Labor Force Survey data, which were revised in 2011 in compliance with Population and Housing Census 2011 results; data before 2011 have not been revised yet. Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/2020",14.342,13.483,12.492,11.642,11.75,10.05,7.042,6.058,7.742,17.567,19.467,16.208,15.048,11.868,10.847,9.875,9.642,8.715,7.415,6.318,8,6.3,2019.0
86,Latvia,General government net lending/borrowing,Percent of GDP,,"Source: Ministry of Finance or Treasury Latest actual data: 2019 Notes: Public debt covers debt of the general government excluding debt of the commercial companies and institutional units, reclassified by the Central Statistical Bureau (CSB) in the general government (central and local government) sector. It does not include liabilities in the form of other accounts payable. Start/end months of reporting year: January/December GFS Manual used: European System of Accounts (ESA) 2010 Basis of recording: Cash General government includes: Central Government; Local Government; Social Security Funds; Valuation of public debt: Nominal value Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans",-2.51,-1.991,-2.512,-1.597,-0.997,-1.026,-0.459,0.597,-3.146,-6.983,-6.47,-3.185,0.175,-0.56,-1.68,-1.529,-0.4,-0.827,-0.74,-0.381,-5.169,-3.663,2019.0
87,Latvia,Current account balance,Percent of GDP,,"Source: Central Bank Latest actual data: 2019 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6)",-4.717,-7.534,-6.49,-7.8,-12.306,-11.857,-20.897,-20.766,-12.327,7.705,1.798,-3.233,-3.644,-2.745,-2.266,-0.884,1.436,1.019,-0.681,-0.535,-2.161,-1.458,2019.0
88,Lithuania,"Gross domestic product, constant prices",Percent change,,"Source: National Statistics Office. Data from Statistics Lithuania: http://www.stat.gov.lt/en/ Latest actual data: 2019 Notes: Data prior to 1995 cannot be confirmed by national sources at this time. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2005",3.832,6.523,6.761,10.539,6.55,7.727,7.406,11.087,2.628,-14.814,1.482,6.025,3.834,3.558,3.508,2.033,2.556,4.248,3.644,3.914,-8.086,8.155,2019.0
89,Lithuania,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. Data from Statistics Lithuania: http://www.stat.gov.lt/en/ Latest actual data: 2019 Notes: Data prior to 1995 cannot be confirmed by national sources at this time. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2005",33.807,36.802,39.912,44.937,49.17,54.619,60.44,68.945,72.133,61.915,63.565,68.803,72.811,76.725,80.886,83.39,86.407,91.774,97.436,103.014,95.286,105.066,2019.0
90,Lithuania,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,"Source: National Statistics Office. Data from Statistics Lithuania: http://www.stat.gov.lt/en/ Latest actual data: 2019 Notes: Data prior to 1995 cannot be confirmed by national sources at this time. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2005",4.565,7.404,7.621,11.441,7.753,9.497,9.134,12.415,3.689,-13.863,3.633,8.447,5.236,4.612,4.402,2.998,3.867,5.716,4.638,4.594,-7.578,8.808,2019.0
91,Lithuania,"Inflation, average consumer prices",Percent change,,Source: National Statistics Office. Data from Statistics Lithuania: http://www.stat.gov.lt/en/ Latest actual data: 2019 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2015,1.094,1.549,0.336,-1.077,1.154,2.672,3.757,5.751,11.162,4.161,1.191,4.124,3.164,1.164,0.242,-0.677,0.678,3.718,2.531,2.242,-0.254,1.67,2019.0
92,Lithuania,"Inflation, end of period consumer prices",Percent change,,Source: National Statistics Office. Data from Statistics Lithuania: http://www.stat.gov.lt/en/ Latest actual data: 2019 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2015,1.665,2.03,-0.895,-1.305,2.847,2.994,4.553,8.198,8.462,1.174,3.624,3.475,2.916,0.53,-0.189,-0.249,1.96,3.806,1.758,2.73,-0.254,1.67,2019.0
93,Lithuania,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2019 Employment type: Eurostat harmonized data Primary domestic currency: Euro Data last updated: 04/2020,16.375,17.362,13.737,12.441,10.884,8.324,5.778,4.248,5.827,13.787,17.814,15.39,13.366,11.77,10.699,9.119,7.861,7.073,6.146,6.3,8.9,8.1,2019.0
94,Lithuania,General government net lending/borrowing,Percent of GDP,,"Source: Ministry of Finance or Treasury Latest actual data: 2018 Notes: ?gross debt follows the Maastricht definition of gross debt, and excludes other accounts payable Fiscal assumptions: Fiscal projections for the current year take into account up-to-date available data. Projections for future years are passive on the basis on announced policy measures and the envisioned neutral stance by the authorities. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2014 Basis of recording: Accrual General government includes: Central Government; Local Government; Social Security Funds; Valuation of public debt: Nominal value. This is the format of data presented by the authorities.",-3.98,-3.617,-1.794,-1.265,-1.532,-0.504,-0.447,-0.998,-3.266,-9.329,-6.919,-8.955,-3.148,-2.619,-0.665,-0.208,0.259,0.523,0.662,0.248,-7.629,-2.529,2018.0
95,Lithuania,Current account balance,Percent of GDP,,"Source: Central Bank. http://www.lbank.lt/eng/statistic/index.html. Latest actual data: 2019. Monthly data available for June 2018 Notes: Data prior to 1993 cannot be confirmed by national sources at this time. BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6)",-5.848,-4.682,-5.141,-6.799,-7.614,-7.27,-10.897,-15.482,-13.606,1.43,-1.279,-4.557,-1.411,0.835,3.168,-2.813,-0.82,0.593,0.29,4.274,6.013,4.455,2019.0
96,Luxembourg,"Gross domestic product, constant prices",Percent change,,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995. The Luxembourg statistics office (STATEC) publishes the national accounts data starting from 2000 only. Previously, the same data were published from 1995, but when the authorities moved to the ESA 2010 standard, the historical data were only revised back to 2000.",8.442,2.532,3.82,1.629,3.612,3.173,5.178,8.355,-1.279,-4.359,4.865,2.539,-0.353,3.654,4.297,4.305,4.575,1.801,3.111,2.298,-4.898,4.846,2019.0
97,Luxembourg,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995. The Luxembourg statistics office (STATEC) publishes the national accounts data starting from 2000 only. Previously, the same data were published from 1995, but when the authorities moved to the ESA 2010 standard, the historical data were only revised back to 2000.",28.33,29.685,31.306,32.407,34.481,36.683,39.751,44.229,44.512,42.896,45.507,47.638,48.38,51.028,54.206,57.128,60.36,62.604,66.125,68.824,65.868,70.407,2019.0
98,Luxembourg,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995. The Luxembourg statistics office (STATEC) publishes the national accounts data starting from 2000 only. Previously, the same data were published from 1995, but when the authorities moved to the ESA 2010 standard, the historical data were only revised back to 2000.",6.891,1.271,2.639,0.666,2.096,1.77,3.417,6.739,-2.833,-6.239,3.076,0.581,-2.823,1.302,1.899,1.845,2.163,-0.684,1.169,0.317,-6.74,2.815,2019.0
99,Luxembourg,"Inflation, average consumer prices",Percent change,,Source: National Statistics Office Latest actual data: 2019 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2015,3.781,2.404,2.059,2.529,3.24,3.764,2.958,2.656,4.09,0.011,2.797,3.726,2.888,1.696,0.697,0.06,0.04,2.112,2.013,1.654,0.705,1.478,2019.0
100,Luxembourg,"Inflation, end of period consumer prices",Percent change,,Source: National Statistics Office Latest actual data: 2019 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2015,4.328,0.974,2.854,2.48,3.544,3.537,2.294,4.353,0.697,2.497,3.056,3.363,2.422,1.492,-0.99,0.818,1.553,1.569,1.884,1.84,0.6,1.3,2019.0
101,Luxembourg,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/2020,2.383,2.208,2.492,3.292,3.692,4.075,4.225,4.183,4.142,5.45,5.8,5.667,6.096,6.821,7.075,6.63,6.25,5.84,5.1,5.4,7.717,6.796,2019.0
102,Luxembourg,General government net lending/borrowing,Percent of GDP,,"Source: Ministry of Finance or Treasury Latest actual data: 2019 Notes: Gross debt follows the Maastricht definition of gross debt, and excludes other accounts payable Fiscal assumptions: Projections are based on the authorities? best understanding of the new government?s plans for 2019 and the medium term Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Accrual General government includes: Central Government; Local Government; Social Security Funds; Valuation of public debt: Face value Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans",5.888,5.91,2.44,0.186,-1.283,0.078,1.936,4.151,3.32,-0.674,-0.658,0.513,0.345,0.976,1.316,1.397,1.792,1.353,2.664,2.715,-2.768,0.236,2019.0
103,Luxembourg,Current account balance,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2019 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6)",12.603,8.313,9.333,6.48,11.802,10.985,9.903,9.734,7.574,7.21,6.67,6.047,5.642,5.422,5.16,5.072,4.945,4.902,4.756,4.481,3.959,4.367,2019.0
104,Malta,"Gross domestic product, constant prices",Percent change,,"Source: Haver Analytics. Eurostat Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 2000",,0.608,2.982,2.544,0.442,3.785,1.828,3.987,3.347,-2.462,3.543,1.359,2.794,4.839,8.791,10.858,5.83,6.471,7.314,4.384,-2.814,7.018,2019.0
105,Malta,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: Haver Analytics. Eurostat Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 2000",7.854,8.075,8.447,8.823,9.101,9.74,10.218,10.91,11.495,11.297,11.834,12.245,12.829,13.686,15.164,16.986,18.162,19.702,21.658,23.001,22.496,24.544,2019.0
106,Malta,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,"Source: Haver Analytics. Eurostat Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 2000",-1.593,-0.075,2.141,1.859,-0.204,3.063,1.242,3.828,2.785,-3.197,2.768,1.124,2.165,3.607,7.039,8.269,3.31,4.185,3.839,2.424,-4.439,5.54,2019.0
107,Malta,"Inflation, average consumer prices",Percent change,,Source: Haver Analytics. Eurostat Latest actual data: 2019 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2015,3.037,2.514,2.614,1.931,2.726,2.522,2.576,0.697,4.684,1.84,2.041,2.513,3.227,0.979,0.771,1.176,0.9,1.261,1.741,1.523,0.582,1.933,2019.0
108,Malta,"Inflation, end of period consumer prices",Percent change,,Source: Haver Analytics. Eurostat Latest actual data: 2019 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2015,1.017,3.565,2.052,2.447,1.885,3.371,0.772,3.054,4.982,-0.439,4.044,1.476,2.75,1.01,0.381,1.253,0.963,1.336,1.239,1.283,0.336,2.001,2019.0
109,Malta,Unemployment rate,Percent of total labor force,,"Source: Eurostat, Labor Force Survey Latest actual data: 2018 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/2020",6.758,7.617,7.025,7.567,7.217,6.942,6.817,6.467,5.975,6.883,6.842,6.392,6.2,6.108,5.733,5.392,4.7,4,3.667,3.425,5,4.4,2018.0
110,Malta,General government net lending/borrowing,Percent of GDP,,"Source: NSO data via Eurostat Latest actual data: 2018 Fiscal assumptions: Projections are based on the latest Stability Programme Update by the authorities and budget documents, taking also into account other recently adopted fiscal measures, adjusted for staff's macroeconomic and other assumptions. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Accrual General government includes: Central Government; Social Security Funds; Valuation of public debt: Nominal value Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans;. Gross debt follows the Maastricht definition of gross debt, and excludes other accounts payable.",-5.828,-6.526,-5.651,-9.143,-4.42,-2.614,-2.518,-2.147,-4.182,-3.239,-2.393,-2.409,-3.488,-2.426,-1.747,-1.082,0.912,3.415,1.905,1.294,-7.227,-0.446,2018.0
111,Malta,Current account balance,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2018 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6)",-5.161,-1.564,0.997,-1.232,-5.488,-8.163,-9.353,-3.87,-1.052,-6.579,-4.657,-0.201,1.703,2.664,8.746,2.802,3.813,10.523,10.421,8.433,3.332,6.091,2018.0
112,Netherlands,"Gross domestic product, constant prices",Percent change,,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980",4.199,2.328,0.217,0.158,1.983,2.047,3.462,3.772,2.172,-3.667,1.341,1.55,-1.031,-0.127,1.424,1.958,2.192,2.911,2.597,1.811,-7.493,2.983,2019.0
113,Netherlands,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980",535.294,559.768,569.856,581.352,608.843,640.656,682.894,727.69,757.956,735.726,754.28,781.97,788.75,801.569,828.03,853.035,880.758,923.466,970.536,"1,005.34",935.911,982.624,2019.0
114,Netherlands,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980",3.518,1.54,-0.519,-0.382,1.573,1.749,3.28,3.621,1.877,-4.137,0.796,1.057,-1.472,-0.42,1.124,1.527,1.72,2.294,2.003,1.515,-7.761,2.686,2019.0
115,Netherlands,"Inflation, average consumer prices",Percent change,,Source: National Statistics Office Latest actual data: 2019 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2015,2.344,5.115,3.853,2.224,1.385,1.491,1.653,1.587,2.212,0.972,0.93,2.47,2.818,2.556,0.32,0.218,0.114,1.297,1.602,2.673,0.495,1.154,2019.0
116,Netherlands,"Inflation, end of period consumer prices",Percent change,,Source: National Statistics Office Latest actual data: 2019 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2015,3.062,5.294,3.298,1.578,1.255,1.947,1.713,1.593,1.658,0.694,1.806,2.451,3.305,1.31,-0.14,0.452,0.76,1.27,1.881,2.817,0.825,1.254,2019.0
117,Netherlands,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2019 Employment type: Harmonized OECD definition Primary domestic currency: Euro Data last updated: 04/2020,3.66,3.137,3.665,4.833,5.665,5.882,5.014,4.161,3.663,4.359,4.995,4.984,5.832,7.257,7.434,6.891,6.024,4.854,3.839,3.39,6.5,5,2019.0
118,Netherlands,General government net lending/borrowing,Percent of GDP,,"Source: Ministry of Finance or Treasury Latest actual data: 2019 Notes: Gross debt follows the Maastricht definition of gross debt, and excludes other accounts payable. Fiscal assumptions: Fiscal projections for the period 2019?24 are based on the authorities? Bureau for Economic Policy Analysis budget projections, after differences in macroeconomic assumptions are adjusted for. Historical data were revised following the June 2014 Central Bureau of Statistics release of revised macro data because of the adoption of the European System of National and Regional Accounts (ESA 2010) and the revisions of data sources. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Accrual General government includes: Central Government; Local Government; Social Security Funds; Valuation of public debt: Nominal value Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans",1.165,-0.476,-2.129,-3.142,-1.825,-0.396,0.099,-0.092,0.201,-5.086,-5.246,-4.427,-3.918,-2.929,-2.152,-2.025,0.021,1.264,1.491,1.659,-6.164,-2.136,2019.0
119,Netherlands,Current account balance,Percent of GDP,,"Source: Central Bank. IMF STA BPM6 Database Latest actual data: 2018. The latest data (2018) is sourced from the DNB. Notes: SFIs are integrated in the resident economy. BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6)",1.738,2.274,2.33,5.154,7.56,7.047,9.085,6.886,4.966,5.415,6.934,8.535,10.194,9.751,8.172,6.293,8.061,10.82,10.875,10.865,9.006,9.384,2018.0
120,Portugal,"Gross domestic product, constant prices",Percent change,,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: Yes, from 1980",3.816,1.944,0.771,-0.931,1.789,0.782,1.625,2.507,0.319,-3.122,1.738,-1.696,-4.057,-0.923,0.792,1.792,2.019,3.506,2.637,2.157,-8,5,2019.0
121,Portugal,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: Yes, from 1980",211.217,220.045,225.249,227.297,237.592,246.907,258.513,272.112,278.29,271.657,279.598,280.597,274.377,276.614,283.966,292.064,301.047,317.471,333.783,346.926,321.199,343.835,2019.0
122,Portugal,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: Yes, from 1980",3.089,1.227,0.221,-1.302,1.545,0.596,1.442,2.305,0.175,-3.214,1.691,-1.552,-3.667,-0.378,1.337,2.215,2.342,3.76,2.802,2.197,-7.861,5.187,2019.0
123,Portugal,"Inflation, average consumer prices",Percent change,,Source: National Statistics Office Latest actual data: 2019 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2015,2.805,4.41,3.701,3.237,2.51,2.13,3.046,2.422,2.652,-0.903,1.391,3.554,2.776,0.44,-0.16,0.508,0.636,1.556,1.168,0.3,-0.198,1.35,2019.0
124,Portugal,"Inflation, end of period consumer prices",Percent change,,Source: National Statistics Office Latest actual data: 2019 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2015,3.824,3.911,4.022,2.28,2.568,2.54,2.523,2.742,0.842,-0.141,2.444,3.498,2.09,0.171,-0.27,0.291,0.881,1.618,0.635,0.369,-0.242,1.574,2019.0
125,Portugal,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/2020,3.925,4.009,4.995,6.264,6.623,7.582,7.647,7.964,7.552,9.432,10.77,12.677,15.526,16.183,13.894,12.444,11.066,8.867,6.994,6.463,13.94,8.685,2019.0
126,Portugal,General government net lending/borrowing,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2019. General government statistics in 2017 are provisional and will be updated after the actual data are published. Notes: Gross debt follows the Maastricht definition of gross debt, and excludes other accounts payable. Fiscal assumptions: The projections for the current year are based on the authorities? approved budget, adjusted to reflect the IMF staff?s macroeconomic forecast. Projections thereafter are based on the assumption of unchanged policies. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Accrual General government includes: Central Government; Local Government; Social Security Funds; Other; Valuation of public debt: Nominal value Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans",-3.398,-4.784,-3.79,-4.384,-6.11,-6.221,-4.233,-3.045,-3.761,-9.807,-11.191,-7.386,-5.662,-4.836,-7.12,-4.303,-1.97,-2.96,-0.446,0.19,-7.094,-1.888,2019.0
127,Portugal,Current account balance,Percent of GDP,,"Source: Central Bank Latest actual data: 2019 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6)",-10.797,-10.449,-8.383,-6.635,-7.957,-9.585,-10.259,-9.62,-11.833,-10.293,-10.256,-5.977,-1.612,1.635,0.157,0.23,1.172,1.302,0.389,-0.085,0.282,-0.356,2019.0
128,Slovak Republic,"Gross domestic product, constant prices",Percent change,,"Source: Haver Analytics. Eurostat Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1997",1.166,3.254,4.51,5.499,5.279,6.623,8.493,10.832,5.575,-5.456,5.721,2.865,1.896,0.671,2.753,4.822,2.123,3.041,4.034,2.276,-6.2,4.963,2019.0
129,Slovak Republic,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: Haver Analytics. Eurostat Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1997",66.818,70.505,74.85,80.433,86.958,95.605,106.865,121.622,130.9,124.702,133.372,140.059,145.451,148.996,155.93,165.151,170.404,178.893,190.643,198.382,187.264,200.39,2019.0
130,Slovak Republic,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,"Source: Haver Analytics. Eurostat Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1997",1.068,3.635,4.506,5.579,5.337,6.607,8.488,10.827,5.518,-5.567,5.564,2.826,1.672,0.55,2.656,4.718,2.031,2.868,3.885,2.139,-6.326,4.822,2019.0
131,Slovak Republic,"Inflation, average consumer prices",Percent change,,Source: Haver Analytics. Eurostat Latest actual data: 2019 Harmonized prices: Yes. 2005=100 Frequency of source data: Monthly Base year: 2015,12.161,7.144,3.489,8.417,7.451,2.779,4.266,1.899,3.951,0.937,0.699,4.072,3.732,1.458,-0.095,-0.331,-0.475,1.394,2.529,2.767,1.064,1.446,2019.0
132,Slovak Republic,"Inflation, end of period consumer prices",Percent change,,Source: Haver Analytics. Eurostat Latest actual data: 2019 Harmonized prices: Yes. 2005=100 Frequency of source data: Monthly Base year: 2015,8.44,6.568,3.096,9.24,5.775,3.656,3.479,2.33,3.467,0.044,1.303,4.581,3.358,0.36,-0.159,-0.449,0.271,2.059,1.958,3.217,0.396,1.791,2019.0
133,Slovak Republic,Unemployment rate,Percent of total labor force,,Source: Haver Analytics. National Statistical Office Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/2020,18.9,19.458,18.825,17.7,18.358,16.358,13.442,11.217,9.592,12.092,14.5,13.692,13.967,14.242,13.2,11.483,9.692,8.125,6.55,5.775,8.016,7.392,2019.0
134,Slovak Republic,General government net lending/borrowing,Percent of GDP,,"Source: Eurostat Latest actual data: 2019 Notes: Gross debt follows the Maastricht definition of gross debt, and excludes other accounts payable. Fiscal assumptions: The current year projections take into consideration both the budget and developments to date. Next year and beyond reflect a no-policy-change scenario. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Accrual General government includes: Central Government; Local Government; Social Security Funds; Valuation of public debt: Face value Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans; Shares and Other Equity; Other Accounts Receivable/Payable; Monetary Gold and SDRs;. Our framework follows the Maastricht debt criteria.",-12.631,-7.221,-8.221,-3.12,-2.316,-2.874,-3.579,-2.05,-2.523,-8.149,-7.456,-4.456,-4.367,-2.87,-3.11,-2.672,-2.476,-0.953,-1.06,-1.26,-5.907,-2.784,2019.0
135,Slovak Republic,Current account balance,Percent of GDP,,"Source: Central Bank. National bank of Slovakia Latest actual data: 2019 Notes: Balance of payments data before 2009 reflect staff estimates to comply with BPM6 pending provision of a longer times series based on BPM6. BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6)",-3.083,-7.979,-7.603,-4.893,-5.85,-7.287,-7.026,-4.8,-6.358,-3.443,-4.675,-4.911,0.931,1.855,1.142,-2.092,-2.741,-1.915,-2.642,-3.175,-2.985,-2.448,2019.0
136,Slovenia,"Gross domestic product, constant prices",Percent change,,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 2000",3.673,3.216,3.506,2.96,4.359,3.798,5.746,6.98,3.51,-7.549,1.344,0.861,-2.639,-1.029,2.768,2.21,3.122,4.833,4.118,2.443,-8.039,5.448,2019.0
137,Slovenia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 2000",35.76,37.719,39.659,41.592,44.573,47.707,51.975,57.097,60.251,56.127,57.544,59.252,58.795,59.211,61.976,64.005,66.687,71.226,75.967,79.179,73.276,78.775,2019.0
138,Slovenia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 2000",3.181,3.095,3.301,2.908,4.286,3.738,5.442,6.607,3.515,-8.554,0.62,0.703,-2.891,-1.189,2.655,2.121,3.056,4.747,4.069,2.394,-8.083,5.398,2019.0
139,Slovenia,"Inflation, average consumer prices",Percent change,,Source: National Statistics Office Latest actual data: 2019 Harmonized prices: No Frequency of source data: Monthly Base year: 2015,8.934,8.376,7.477,5.539,3.589,2.455,2.462,3.664,5.651,0.843,1.797,1.799,2.596,1.772,0.204,-0.524,-0.051,1.432,1.736,1.628,0.401,1.408,2019.0
140,Slovenia,"Inflation, end of period consumer prices",Percent change,,Source: National Statistics Office Latest actual data: 2019 Harmonized prices: No Frequency of source data: Monthly Base year: 2015,8.929,7.035,7.258,4.556,3.134,2.224,2.779,5.691,2.103,1.798,1.884,1.986,2.658,0.652,0.13,-0.468,0.51,1.762,1.438,1.841,0.199,1.782,2019.0
